A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,heat capacity
4.07157,1.61574,1.57023,1.1239,71.76,-0.2385,0.0239,0.2623,889.3408,0.144212,27.008
4.04684,1.85166,1.2804,2.4113,67.09,-0.2399,-0.0411,0.1989,898.9725,0.109425,25.218
3.69947,1.96797,1.28636,5.4369,69.66,-0.1962,-0.0199,0.1763,883.6522,0.110093,26.328
3.5318,1.80181,1.21898,2.2307,68.5,-0.2185,0.0164,0.2349,987.0249,0.130197,29.92
5.66431,1.60045,1.2576,4.6597,69.35,-0.2278,-0.066,0.1618,924.2162,0.108256,25.562
6.22265,1.35171,1.11048,5.635,66.44,-0.2128,-0.0138,0.199,965.3982,0.085628,25.367
6.93423,1.3642,1.14968,2.2661,60.56,-0.1912,0.0372,0.2284,993.9115,0.107863,27.372
6.82987,1.26082,1.07147,6.0242,55.93,-0.2134,0.0291,0.2425,1011.7418,0.095448,26.418
3.29944,2.42291,1.40902,1.9896,69.26,-0.2276,-0.0607,0.1668,833.9172,0.108137,25.639
3.39478,2.12077,1.32706,3.5481,68.35,-0.1835,0.0369,0.2204,905.2485,0.130382,29.168
8.01427,1.23333,1.08028,6.491,58.1,-0.2314,0.0035,0.2349,994.3483,0.085218,23.487
5.21758,1.68781,1.28522,3.0418,60.33,-0.2402,-0.0247,0.2155,870.2733,0.098142,24.752
5.15472,1.60253,1.23207,1.7944,70.92,-0.2302,-0.0197,0.2105,945.1819,0.121224,25.24
3.67881,1.93855,1.26956,5.2472,63.53,-0.2197,-0.0111,0.2086,862.3359,0.08588,25.324
3.68772,1.86247,1.28241,1.3493,63.37,-0.1795,0.0546,0.2341,903.8309,0.12062,27.951
4.86809,2.14214,1.51979,4.7455,62.98,-0.1883,0.0258,0.2141,780.742,0.111059,23.039
3.27751,1.43538,1.29622,1.8529,71.84,-0.2588,0.0199,0.2787,1077.2402,0.173001,36.077
3.0697,1.2377,1.07546,4.1247,70.54,-0.2759,-0.0008,0.275,1161.0612,0.115399,32.647
2.71625,1.74103,1.41918,2.8755,73.65,-0.2427,-0.0144,0.2283,982.0518,0.149076,35.417
4.79209,0.96139,0.82706,2.6324,65.76,-0.2405,0.0609,0.3014,1363.2141,0.153133,34.051
3.81985,1.53394,1.4336,4.3756,64.37,-0.2406,0.0348,0.2754,928.8465,0.1423,30.29
4.12541,1.09487,0.96754,3.8492,69.33,-0.2652,-0.0303,0.2349,1215.6047,0.139519,32.182
4.58102,1.01877,0.88437,3.6513,68.5,-0.2351,0.0364,0.2715,1313.677,0.16422,34.466
3.50382,1.26372,1.07078,1.2295,78.42,-0.2459,0.0719,0.3178,1210.8894,0.198184,36.3
4.95041,1.2998,1.2526,1.226,76.41,-0.2621,0.0758,0.3379,1063.4004,0.176749,31.734
7.28433,0.72987,0.68448,3.8713,77.48,-0.2303,-0.0602,0.1701,1607.0917,0.139215,31.972
6.0948,0.62734,0.59422,1.3589,82.92,-0.2607,0.0739,0.3346,1972.2504,0.221395,38.531
2.82729,1.52779,1.34517,1.1117,72.07,-0.232,0.0803,0.3123,1053.2371,0.173669,35.596
2.49885,2.05064,1.57032,4.1617,67.43,-0.2635,0.0169,0.2803,920.4847,0.152069,31.766
8.05611,0.8924,0.8156,5.6532,62.99,-0.2933,-0.0066,0.2868,1347.2193,0.116846,29.572
4.90975,0.82982,0.74649,0.1862,76.84,-0.2479,0.0897,0.3376,1599.1812,0.197011,36.549
4.46681,1.18407,1.01028,6.006,58.81,-0.2819,-0.0091,0.2728,1093.0464,0.106286,29.869
3.46291,1.5234,1.25019,1.685,59.27,-0.2403,-0.0977,0.1426,992.0609,0.102075,30.445
3.80378,1.28801,1.17513,2.0876,71.82,-0.2494,0.0785,0.3279,1125.7673,0.176037,32.69
2.70934,1.99091,1.40223,3.3082,69.21,-0.236,-0.0217,0.2143,946.3262,0.151348,32.511
3.57057,1.98996,1.28769,1.8934,66.95,-0.255,-0.0519,0.2031,882.8166,0.109533,25.176
3.20592,1.86942,1.25555,3.7843,65.41,-0.2361,0.0278,0.2639,958.7999,0.1436,28.464
3.57577,2.00266,1.37946,3.3302,56.72,-0.2839,-0.0611,0.2228,853.6139,0.095771,25.038
3.08943,1.58953,1.15887,0.3106,85.04,-0.2244,0.0337,0.2581,1133.7956,0.199929,34.209
2.8795,2.05328,1.4988,3.9824,69.14,-0.2405,0.012,0.2526,898.9695,0.141622,29.732
2.72361,2.46639,1.62893,1.6539,76.25,-0.2211,0.0206,0.2417,872.9502,0.16563,30.728
6.7758,0.91829,0.85949,3.236,69.75,-0.2412,-0.0185,0.2227,1332.055,0.15157,30.577
3.59141,1.72959,1.47955,1.7024,74.84,-0.2311,0.0847,0.3158,952.1084,0.176203,31.311
3.89642,2.02152,1.59598,1.7982,72.17,-0.2277,0.0856,0.3132,863.0188,0.152508,29.179
4.95679,1.77166,1.67382,2.4842,70.65,-0.2068,0.0638,0.2705,838.4504,0.141264,26.888
2.61861,1.52512,1.26439,2.471,78.1,-0.2444,-0.0215,0.2229,1120.2177,0.197078,37.154
4.96472,1.14098,0.94391,1.2528,67.06,-0.2382,-0.0583,0.1799,1237.5317,0.140105,32.121
2.76385,1.63874,1.13633,2.4755,65.65,-0.2495,0.0053,0.2548,1090.4022,0.150708,33.108
4.73977,0.90356,0.77851,1.9732,60.45,-0.2584,-0.107,0.1514,1343.942,0.102889,28.542
5.58881,0.95555,0.85623,1.488,60.34,-0.2581,-0.0517,0.2065,1257.836,0.117191,29.336
7.9578,0.78885,0.72731,4.4192,62.8,-0.2664,-0.0302,0.2361,1441.3174,0.116116,30.303
5.59012,0.87131,0.80787,4.0685,69.88,-0.2407,-0.0206,0.2201,1407.8665,0.138469,32.001
4.24488,0.97929,0.82709,2.0866,65.61,-0.2614,-0.0344,0.2271,1351.3997,0.150341,32.885
3.04988,1.70872,1.51536,1.0653,67.09,-0.2477,0.0241,0.2718,907.2232,0.128352,31.384
4.67047,1.33603,1.21956,2.1372,61.11,-0.2701,-0.0709,0.1992,971.6047,0.103204,28.353
3.83537,1.57738,1.55916,1.151,71.27,-0.2437,0.0246,0.2683,895.1237,0.129269,29.825
2.66309,1.60478,1.35527,2.6823,75.1,-0.2401,-0.0199,0.2202,1036.3628,0.174541,33.881
4.50744,0.89116,0.84539,0.0593,86.03,-0.225,0.0588,0.2838,1481.0851,0.175397,34.357
2.91858,1.37263,0.98462,2.1208,54.37,-0.3008,-0.0825,0.2182,1075.2192,0.068583,26.045
2.30209,1.67496,1.09177,3.8265,66.8,-0.2744,0.0012,0.2755,1083.5428,0.129652,30.606
3.52015,1.13507,0.90291,4.0326,65.68,-0.2749,0.0278,0.3026,1265.074,0.140469,31.885
2.40266,1.58732,1.02234,0.5918,84.23,-0.2582,0.0556,0.3138,1227.0783,0.197438,37.81
2.96727,1.72095,1.38027,2.0301,62.97,-0.2429,0.0631,0.306,955.8496,0.153334,30.955
2.89118,1.32846,1.01777,1.962,77.34,-0.2445,0.0346,0.2792,1219.0686,0.150903,32.859
2.95984,1.51787,1.20857,2.4837,71.27,-0.2513,0.0633,0.3146,1075.7553,0.17637,34.056
2.55225,2.07707,1.37069,2.6488,65,-0.2474,-0.025,0.2224,928.5134,0.140476,31.414
4.99918,1.65699,1.31293,2.254,51.11,-0.2894,-0.0204,0.269,847.2695,0.084261,23.404
3.18593,2.02687,1.43379,2.0698,65.56,-0.2284,-0.0147,0.2136,883.3348,0.1292,29.257
4.10144,1.76091,1.50769,3.3961,70.04,-0.2505,0.0282,0.2788,886.1276,0.143595,27.738
6.26288,1.08433,1.02493,3.4926,64.83,-0.2616,0.0051,0.2667,1095.8814,0.107768,25.888
6.50771,1.36652,1.13731,0.7636,53.54,-0.2851,-0.1017,0.1834,935.5491,0.071329,22.996
4.97766,1.36947,1.23125,5.0762,61.52,-0.2743,0.0164,0.2908,963.8057,0.119393,27.145
5.02673,1.16443,1.03584,2.2524,69.57,-0.2451,0.0144,0.2595,1136.4471,0.154004,30.579
5.12328,1.09497,0.97128,4.9393,74.75,-0.2414,-0.0391,0.2023,1176.0215,0.118692,29.489
6.13494,0.89169,0.84107,2.5793,69.32,-0.2294,0.0339,0.2633,1365.3827,0.152797,31.736
4.68232,1.57105,1.34686,3.1151,60,-0.2656,-0.0569,0.2087,873.069,0.094281,25.055
3.45746,1.75022,1.32593,2.4809,68.72,-0.2382,-0.0236,0.2146,940.8477,0.141082,29.386
4.67811,1.60372,1.34395,1.3577,69.73,-0.2297,0.031,0.2607,952.0884,0.14226,28.174
3.30379,2.00995,1.77155,1.1429,72.34,-0.2328,0.0128,0.2455,838.8866,0.153685,30.055
3.34231,1.68455,1.46964,2.5138,71.37,-0.2198,0.0678,0.2876,948.1477,0.163615,32.554
3.85127,1.4631,1.24171,4.6278,72.38,-0.2498,0.019,0.2688,1019.8071,0.153954,30.936
3.07842,2.36972,1.40514,6.0435,60.77,-0.2566,-0.0361,0.2205,834.475,0.109399,25.366
3.05849,2.2056,1.36237,2.468,56.81,-0.2528,-0.0036,0.2492,863.0721,0.120703,26.581
3.53073,2.15587,1.59464,5.0155,53.91,-0.2769,0.0221,0.299,787.7183,0.108458,24.299
2.86918,2.13946,1.29526,2.1527,64.72,-0.2403,-0.0417,0.1987,917.6474,0.129001,28.528
3.2689,1.66383,1.3178,1.3701,77.49,-0.2588,0.0644,0.3232,1041.7013,0.200734,34.179
3.58814,2.10145,1.61583,2.087,67.99,-0.2415,0.0284,0.2698,833.7653,0.143575,27.331
3.35752,1.845,1.5205,5.1322,65.89,-0.2567,0.0274,0.2841,866.3689,0.118585,27.065
2.88712,2.61083,1.61257,1.3182,57.9,-0.2432,-0.0356,0.2075,774.4356,0.106183,26.356
4.24459,1.22276,1.02237,4.8507,61.91,-0.2419,-0.018,0.2239,1110.0718,0.128208,29.063
5.20301,1.28088,1.1702,1.2326,61.6,-0.2481,-0.0043,0.2439,1053.882,0.129663,27.987
5.8389,1.28091,1.1198,1.3319,66.71,-0.2507,0.0198,0.2704,1026.2411,0.118975,26.989
5.71222,0.97525,0.87807,1.3171,77.05,-0.2362,0.0268,0.2631,1327.7143,0.177739,31.211
3.00175,1.54994,1.15578,1.7994,77.55,-0.2394,0.074,0.3134,1124.1048,0.199071,34.554
4.51836,1.21635,1.12718,2.0605,67.37,-0.2416,-0.0385,0.203,1094.9848,0.140492,30.57
4.97296,0.85306,0.77595,0.1559,86.38,-0.2241,0.0539,0.2781,1548.1709,0.175821,33.913
2.80905,1.79879,1.34961,2.6733,65.08,-0.24,0.0262,0.2662,961.0081,0.141032,31.433
2.87764,1.62836,1.27272,2.222,63.99,-0.233,0.0498,0.2829,1006.576,0.151588,33.607
4.69884,1.43391,1.24949,1.516,64.28,-0.2575,0.0078,0.2654,950.9986,0.105077,26.917
3.13521,1.639,1.37148,1.7304,75.23,-0.2509,0.0788,0.3297,1019.2403,0.175682,32.188
3.52756,2.26706,2.07765,1.2826,70.54,-0.2477,0.0788,0.3266,755.773,0.156084,26.508
3.81932,1.84144,1.75771,1.4386,64.74,-0.2154,0.0536,0.269,824.2292,0.132073,27.675
3.33231,2.54411,2.03571,1.6855,70.75,-0.2362,0.0959,0.3321,755.191,0.155507,26.333
3.80645,2.02538,1.55479,1.978,67.76,-0.242,0.0259,0.2679,817.4227,0.118318,27.977
9.23973,0.68308,0.67919,3.2393,77.97,-0.2501,-0.0284,0.2217,1568.1846,0.093698,29.148
9.26714,0.54954,0.54006,0.9173,82.85,-0.2412,0.0425,0.2836,2129.0773,0.174316,34.792
13.04886,0.51836,0.50807,0.0001,77.52,-0.2507,0.0898,0.3404,2197.499,0.197823,35.565
3.33376,1.90449,1.69465,4.2383,61.49,-0.2672,0.004,0.2712,805.1499,0.109687,24.507
4.22982,1.40407,1.13137,0.2079,71.68,-0.2326,0.0923,0.3249,1098.2556,0.17817,30.381
8.54957,0.75749,0.71691,5.5442,75.94,-0.2649,-0.0427,0.2222,1480.4049,0.107646,27.286
3.43424,1.3148,1.07581,2.6085,67.92,-0.2431,0.0575,0.3006,1133.9031,0.165613,31.382
3.56032,1.40416,1.12189,4.2555,63.27,-0.2673,-0.0159,0.2513,1017.9687,0.106709,26.803
3.94593,1.0872,0.92211,2.5645,62.3,-0.2776,-0.0074,0.2702,1204.5598,0.11756,28.919
3.87373,1.99669,1.32849,6.4455,62.18,-0.2501,-0.0559,0.1942,848.8313,0.096204,24.248
2.45629,2.25378,1.54995,3.1229,67.35,-0.2367,-0.0265,0.2102,897.1507,0.153522,29.217
3.59016,1.74267,1.23637,3.9276,65.37,-0.2519,0.0169,0.2688,959.1502,0.1444,27.657
5.06284,1.03978,0.91962,2.3603,61.94,-0.2546,-0.0246,0.23,1209.1454,0.12744,29.998
2.84387,1.8601,1.2831,4.3156,61.26,-0.2492,-0.0299,0.2193,943.9613,0.129025,29.841
3.9232,1.49963,1.22216,2.34,60.68,-0.2564,0.0532,0.3095,979.1549,0.129531,27.962
4.69498,1.80315,1.54608,6.0465,63.16,-0.2505,-0.0029,0.2476,797.8189,0.097484,24.411
3.35007,2.45062,1.56128,3.9663,60.34,-0.226,-0.032,0.194,770.2675,0.096059,24.764
3.47365,1.66119,1.39007,3.0167,73.49,-0.2431,-0.0233,0.2198,954.9602,0.153125,29.538
3.70714,2.29682,1.81037,3.3983,62.01,-0.2544,0.0136,0.268,748.6321,0.121446,23.906
3.58718,2.3153,1.95402,1.44,74.27,-0.2257,0.0988,0.3245,787.1226,0.168083,27.25
3.38476,2.36618,1.54159,3.7801,63.17,-0.2465,-0.078,0.1684,790.4178,0.108502,24.532
3.32253,1.85385,1.59383,1.2352,74.29,-0.2559,0.0834,0.3392,910.5109,0.179002,29.93
3.6529,1.98957,1.40362,5.9141,69.95,-0.2155,-0.0175,0.198,858.617,0.12074,26.825
4.07589,1.793,1.37955,2.9042,64.94,-0.2488,-0.0038,0.245,881.0389,0.131379,26.931
3.75498,2.161,1.94531,1.4881,70.39,-0.2313,0.0819,0.3132,778.0024,0.156416,26.113
4.54111,1.69636,1.6008,2.4444,67.46,-0.2417,-0.0276,0.2141,847.056,0.144039,25.516
5.38472,1.61091,1.46145,1.4718,61.4,-0.2509,0.0728,0.3237,851.3391,0.119567,25.5
3.10015,2.49737,1.91651,1.0081,63.05,-0.2464,0.0657,0.3121,749.7011,0.130082,26.826
4.13989,1.55992,1.50524,1.7587,71.89,-0.246,0.0921,0.3381,930.6232,0.153188,28.825
3.02385,2.38817,1.63254,3.0506,71.88,-0.1936,0.076,0.2696,847.7624,0.153027,30.118
4.33584,1.38689,1.149,1.5367,68.04,-0.2404,-0.0559,0.1845,1039.0545,0.130991,29.757
5.08682,2.03295,1.99137,1.7237,70.96,-0.221,0.0877,0.3087,757.8946,0.143772,25.111
4.34891,1.57192,1.38798,2.5356,72.57,-0.2373,-0.0137,0.2236,953.0993,0.153833,28.193
2.82986,2.32228,2.16962,3.4818,63.54,-0.2273,0.0611,0.2885,755.7439,0.144532,26.644
4.3863,1.63897,1.4053,4.2463,61.14,-0.239,-0.0288,0.2102,878.3588,0.118862,25.427
4.27359,1.99309,1.45569,0.1725,78.68,-0.2241,0.0242,0.2483,876.9953,0.156876,26.066
4.21313,1.75159,1.43102,4.5661,67.89,-0.2537,0.0241,0.2778,873.7271,0.133128,25.824
2.95029,2.17743,1.92423,2.4044,66.35,-0.2296,0.0736,0.3032,804.5037,0.156741,27.259
3.18155,2.04164,1.40466,1.2168,74.47,-0.2354,0.0854,0.3209,928.7057,0.179936,28.703
5.88393,1.12355,1.05378,3.9821,69.34,-0.2373,-0.0148,0.2225,1111.6774,0.142095,27.673
3.91921,1.85904,1.50586,1.5568,71.61,-0.2122,0.0882,0.3004,900.0243,0.16718,27.976
3.176,2.1829,1.42725,1.4147,73.95,-0.227,0.0196,0.2466,901.8835,0.154635,28.422
3.24369,3.0494,2.36028,1.6121,67.33,-0.2334,0.0035,0.2369,668.1943,0.133576,23.092
3.2382,2.58109,1.83573,0.1047,60.25,-0.2157,0.0632,0.2789,726.9541,0.105752,26.301
5.05286,1.98099,1.71729,3.2788,65.24,-0.2428,-0.025,0.2178,761.6247,0.121028,23.037
5.33399,2.16702,2.05622,1.0108,58.95,-0.2457,-0.0242,0.2215,664.3883,0.097357,20.889
2.72159,2.64911,2.63345,0.3475,74.37,-0.2264,0.0126,0.239,724.0728,0.158102,25.5
3.51492,1.82966,1.48018,3.932,62.99,-0.238,0.0649,0.3029,875.9994,0.143738,28.295
3.07245,2.13821,1.61539,1.7846,71.44,-0.248,0.0922,0.3402,865.174,0.153227,28.885
3.37503,1.97044,1.8172,4.3095,64.38,-0.2504,0.0257,0.2761,788.9711,0.1209,25.029
4.40192,2.0536,1.90519,1.5234,55.06,-0.254,0.0611,0.3151,717.4453,0.108233,23.444
4.77068,1.64899,1.52751,2.0115,62.53,-0.2373,0.0559,0.2932,853.9115,0.130917,26.102
4.35194,2.0379,1.85532,2.8272,64.78,-0.2586,0.0222,0.2808,751.8327,0.120549,24.094
4.1204,2.0293,1.74513,4.3634,60.92,-0.2324,-0.0038,0.2286,756.0478,0.106108,24.421
3.56949,1.84748,1.40554,5.0492,58.79,-0.2869,-0.0063,0.2805,854.1986,0.094596,25.129
4.92606,1.55564,1.40457,1.4507,68.7,-0.2275,0.0729,0.3003,921.7267,0.143125,26.924
3.83014,2.62214,2.04541,1.0645,69.29,-0.2206,-0.0204,0.2002,704.176,0.133202,23.566
4.62684,1.47042,1.43258,1.0498,76.26,-0.2332,0.0893,0.3225,969.3212,0.166859,27.947
4.84236,2.07157,1.49056,2.1065,67.01,-0.1899,0.0309,0.2209,806.1635,0.123709,24.266
9.30771,1.00205,0.9098,4.2116,72.81,-0.229,-0.0068,0.2222,1214.6319,0.096379,25.448
3.38855,2.01185,1.27899,3.6916,64.93,-0.2111,0.0156,0.2267,916.2659,0.119526,29.564
5.89465,1.60239,1.27102,3.2001,68.7,-0.2245,-0.0588,0.1657,918.3072,0.108238,26.607
3.18176,1.79049,1.25555,3.2065,70.48,-0.202,0.0356,0.2376,983.1669,0.143963,30.013
5.0345,1.41211,1.18494,2.2007,67.58,-0.2081,0.0226,0.2308,1021.9512,0.133028,28.102
7.22081,1.26352,1.08269,5.129,68.21,-0.2462,-0.0379,0.2084,1033.7665,0.108261,25.399
3.39562,2.05227,1.30393,4.1459,68.3,-0.2055,0.0108,0.2163,920.4623,0.131342,29.382
6.7668,1.31733,1.12543,1.9283,68.95,-0.1972,0.0223,0.2195,1058.0209,0.132545,28.028
7.33551,1.36753,1.16185,1.8972,56.71,-0.2358,0.0183,0.2541,970.9285,0.096406,26.103
4.11648,2.06057,1.37319,0.4344,59.88,-0.2686,-0.1032,0.1654,801.4266,0.072382,23.888
5.38916,1.68924,1.28611,4.1427,53.25,-0.2798,-0.0698,0.21,845.4789,0.07341,23.26
3.64929,1.9764,1.28388,3.9773,65.28,-0.222,-0.0339,0.1882,864.4765,0.083815,26.254
3.48734,2.48383,1.45111,3.1986,59.6,-0.2507,-0.0872,0.1636,762.587,0.07177,24.723
6.11471,1.19285,1.08325,4.049,64.25,-0.2412,-0.0215,0.2197,1043.8208,0.108303,25.245
3.7981,1.99204,1.3067,5.4018,55.71,-0.2671,-0.0502,0.2169,817.6575,0.062994,22.499
2.54692,1.56655,0.96995,4.8745,77.57,-0.1648,0.0059,0.1707,1130.0992,0.113475,31.337
3.71734,0.76393,0.72528,0.6458,85.28,-0.2433,0.0083,0.2516,1613.0073,0.166767,39.066
2.38023,0.77619,0.62136,0.4633,89.4,-0.2386,0.0198,0.2584,1917.6406,0.21484,40.944
2.62433,1.26286,0.88142,2.9687,87.18,-0.1853,-0.0063,0.179,1310.9166,0.160322,33.871
7.04959,0.66073,0.62371,2.3529,74.86,-0.2369,-0.0312,0.2058,1691.7453,0.133035,32.444
3.05045,0.65145,0.58286,1.4604,82.73,-0.2397,0.0148,0.2545,1950.1151,0.191487,39.644
2.3067,1.39808,1.26397,0.5313,68.95,-0.2482,0.0181,0.2663,1074.09,0.122406,32.601
2.85482,1.30183,1.02779,4.2677,68.51,-0.2703,-0.0304,0.24,1114.0144,0.087656,28.441
2.75283,1.45385,1.01521,3.021,75.08,-0.2465,-0.0335,0.213,1147.8429,0.137022,30.683
2.35235,1.56022,1.04015,1.9873,70.17,-0.2389,-0.0789,0.16,1128.9624,0.122599,31.397
2.74556,1.26203,0.93923,1.5426,71.52,-0.253,-0.007,0.2461,1240.7607,0.145138,34.145
2.29742,1.37939,1.01178,4.0861,75.67,-0.2619,-0.0169,0.245,1189.5412,0.136704,31.276
2.285,1.40237,0.9666,2.0776,80.31,-0.227,0.012,0.239,1253.5287,0.158182,34.124
3.23659,1.30222,0.99008,3.274,69.74,-0.2519,-0.0241,0.2277,1130.1715,0.112234,29.003
2.87776,1.43673,1.39618,1.0639,79.21,-0.2374,0.0121,0.2495,1025.284,0.149859,29.769
3.4174,1.53138,1.31196,1.7182,68.3,-0.2367,-0.0062,0.2305,958.2346,0.113917,26.673
3.86019,1.21573,1.15315,2.2934,75.9,-0.2303,0.0108,0.2412,1097.5697,0.136426,29.525
4.03153,1.60803,1.19677,2.664,49.14,-0.2974,-0.0925,0.2049,867.0009,0.04765,22.411
4.00341,1.86485,1.27223,2.2867,56.01,-0.2503,-0.0691,0.1811,830.4303,0.073566,22.239
4.08655,1.22598,1.15979,3.1476,44.97,-0.2693,0.0135,0.2828,983.6804,0.080149,26.304
3.33679,1.42521,1.01149,2.3491,89.13,-0.1938,0.0065,0.2004,1131.8193,0.125414,29.285
7.30982,0.75896,0.69284,6.2318,73.04,-0.2034,0.0199,0.2233,1506.2065,0.114933,29.109
4.22168,1.65906,1.4354,3.1142,69.96,-0.2159,-0.0023,0.2136,887.7813,0.116158,23.966
4.04011,1.64114,1.27248,4.2064,74.47,-0.212,0.0244,0.2364,953.5524,0.129264,25.276
3.58396,1.56997,1.12008,0.4273,81.14,-0.1935,-0.0071,0.1864,1051.5261,0.139288,27.422
3.99534,1.74602,1.21503,5.504,76.72,-0.2369,-0.0331,0.2039,934.0755,0.106531,23.855
4.9866,1.02295,0.9688,0.6745,70.78,-0.2435,-0.0066,0.2369,1207.6071,0.126413,26.502
3.75655,1.66752,1.17236,1.9531,74.36,-0.2328,-0.0443,0.1885,985.0589,0.116597,24.751
3.87767,1.30085,0.97408,4.34,67.78,-0.2876,-0.1037,0.1839,1078.7745,0.067353,24.614
3.54586,1.33631,0.97055,4.0773,68.22,-0.2908,-0.1141,0.1767,1079.2286,0.066733,24.813
4.96073,1.36124,1.07537,1.13,74.01,-0.2008,-0.0029,0.1979,1050.8567,0.115553,26.416
3.21406,1.43439,1.05889,4.1556,76.39,-0.2379,-0.0792,0.1587,1068.1205,0.103308,27.408
2.67818,1.83618,1.14965,2.3216,75.64,-0.2581,-0.0726,0.1855,993.6474,0.104735,26.647
3.22408,1.30833,0.93067,4.3047,72.44,-0.2341,-0.0832,0.1509,1157.6514,0.101782,27.81
2.78292,1.57207,1.00458,7.1181,77.84,-0.2227,-0.0888,0.1339,1088.301,0.102436,27.602
4.50994,0.99013,0.87726,4.226,74.89,-0.2493,-0.0494,0.1999,1276.586,0.113658,27.222
3.83742,0.99201,0.82642,2.4646,76.12,-0.1854,-0.0215,0.1639,1344.057,0.136579,31.446
