formula,band gap
CaSiCaTiO6,4.563855279
CaSiLaAlO6,7.763296446
CaSiLaGaO6,5.420695949
CaSiLaInO6,5.447420818
CaSiMgTiO6,4.905223459
CaSiSnTiO6,2.549360828
CaSiYAlO6,8.343255111
CaSnAgNbO6,3.845223245
CaSnCaTiO6,5.021395043
CaSnLaAlO6,5.731598265
CaSnLaGaO6,4.421397112
CaSnLaInO6,4.332199336
CaSnMgTiO6,5.246768531
CaSnSnTiO6,2.72801287
CaSnYAlO6,5.902973047
CaTiAgNbO6,3.399832758
CaTiLaAlO6,5.239331703
CaTiLaGaO6,5.340395495
CaTiLaInO6,5.218969424
CaTiMgTiO6,4.786930752
CaTiSnTiO6,2.795444748
CaTiYAlO6,5.421790832
CaZrAgNbO6,4.352637765
CaZrAgTaO6,5.00355801
CaZrBaSnO6,6.571947433
CaZrBaTiO6,4.941329535
CaZrCaGeO6,6.336280867
CaZrCaSiO6,6.891564761
CaZrCaSnO6,6.688083161
CaZrCaTiO6,5.26054136
CaZrCsNbO6,4.287619027
CaZrCsVO6,2.604377392
CaZrGaNbO6,2.228163324
CaZrGaTaO6,3.014914456
CaZrInNbO6,1.456944238
CaZrInTaO6,2.057918429
CaZrKNbO6,4.630967138
CaZrKSbO6,5.399489278
CaZrLaAlO6,6.792712674
CaZrLaGaO6,6.915401065
CaZrLaInO6,6.732697601
CaZrLaScO6,7.106711864
CaZrLiNbO6,5.120245746
CaZrLiTaO6,5.605585615
CaZrLiVO6,3.120799521
CaZrMgTiO6,5.924793527
CaZrMgZrO6,7.080509925
CaZrNaNbO6,5.162790192
CaZrNaSbO6,5.537664127
CaZrNaTaO6,5.939519026
CaZrNaVO6,2.457278723
CaZrPbHfO6,5.966256093
CaZrPbTiO6,4.496582604
CaZrPbZrO6,5.921731313
CaZrRbNbO6,4.296312174
CaZrSnHfO6,4.966758775
CaZrSnTiO6,3.500428614
CaZrSrGeO6,6.114467667
CaZrSrHfO6,7.245451656
CaZrSrSiO6,6.832765223
CaZrSrSnO6,6.724869435
CaZrSrTiO6,5.078140778
CaZrSrZrO6,6.802271822
CaZrTlNbO6,2.711079064
CaZrTlTaO6,3.399255554
CaZrYAlO6,7.690766219
CsNbAgNbO6,3.33017012
CsNbBaSnO6,4.222506347
CsNbCaGeO6,3.77620684
CsNbCaSiO6,3.244987246
CsNbCaSnO6,4.0016578
CsNbCaTiO6,3.781984576
CsNbCsTaO6,3.431655002
CsNbGaNbO6,1.568671522
CsNbGaTaO6,1.689092986
CsNbInNbO6,0.772474049
CsNbKNbO6,3.371381999
CsNbKSbO6,3.252953266
CsNbLaAlO6,3.970550913
CsNbLaGaO6,4.445701186
CsNbLaInO6,4.659075089
CsNbLiNbO6,3.358618162
CsNbMgTiO6,3.70530303
CsNbMgZrO6,5.068744498
CsNbNaNbO6,3.456134098
CsNbNaSbO6,3.475302498
CsNbPbHfO6,4.125761782
CsNbPbTiO6,3.806622078
CsNbPbZrO6,4.100090389
CsNbRbNbO6,3.389681924
CsNbSnHfO6,3.837245653
CsNbSnTiO6,2.905831639
CsNbSnZrO6,3.396033234
CsNbSrGeO6,3.617636293
CsNbSrSiO6,3.264936787
CsNbSrSnO6,4.520872076
CsNbSrTiO6,3.872904631
CsNbTlNbO6,2.10377581
CsNbYAlO6,3.724349822
CsTaAgNbO6,3.258149897
CsTaAgTaO6,3.808143901
CsTaBaSnO6,4.584905096
CsTaBaTiO6,3.902959037
CsTaCaGeO6,4.184887473
CsTaCaHfO6,4.97375148
CsTaCaSiO6,4.136175518
CsTaCaSnO6,4.523695478
CsTaCaTiO6,3.849509114
CsTaCaZrO6,4.972347834
CsTaCsVO6,2.139696775
CsTaGaNbO6,1.689655245
CsTaGaTaO6,2.162289219
CsTaKNbO6,3.29564536
CsTaKSbO6,3.598247689
CsTaKTaO6,3.829263824
CsTaLaAlO6,4.790851813
CsTaLaGaO6,5.274671803
CsTaLaInO6,5.039008801
CsTaLaScO6,5.224512176
CsTaLiNbO6,3.3951785
CsTaLiTaO6,3.91261728
CsTaLiVO6,2.351802857
CsTaMgTiO6,3.791325966
CsTaMgZrO6,5.85854129
CsTaNaNbO6,3.375315176
CsTaNaSbO6,3.85601142
CsTaNaTaO6,3.893347423
CsTaNaVO6,2.0949465
CsTaPbHfO6,4.840162189
CsTaPbTiO6,3.441401642
CsTaPbZrO6,4.867170086
CsTaRbNbO6,3.239810056
CsTaRbTaO6,3.759439299
CsTaSnHfO6,3.975569031
CsTaSnTiO6,3.066637476
CsTaSnZrO6,4.550292742
CsTaSrGeO6,3.981506845
CsTaSrHfO6,5.048941056
CsTaSrSiO6,4.170938456
CsTaSrSnO6,4.909403889
CsTaSrTiO6,3.506011227
CsTaSrZrO6,4.95376077
CsTaTlNbO6,2.277721909
CsTaTlTaO6,2.209663313
CsTaYAlO6,4.67918643
CsVBaSnO6,2.072447249
CsVCaGeO6,1.540581216
CsVCaSiO6,1.083685684
CsVCaSnO6,1.797516438
CsVCaTiO6,2.424146688
CsVGaNbO6,0.725860475
CsVGaTaO6,0.427417209
CsVKSbO6,1.53383603
CsVLaAlO6,1.617153328
CsVLaGaO6,1.929652967
CsVLaInO6,2.385279742
CsVLiVO6,1.676047872
CsVMgZrO6,2.234714469
CsVNaSbO6,1.663055524
CsVNaVO6,1.695828684
CsVPbTiO6,2.173707247
CsVSnTiO6,1.531649409
CsVSrGeO6,1.535642736
CsVSrSiO6,1.081372328
CsVSrSnO6,2.126154005
CsVSrTiO6,2.402826221
CsVTlTaO6,1.04242215
CsVYAlO6,1.373149472
GaNbAgNbO6,1.455146082
GaNbBaSnO6,3.13985473
GaNbBaTiO6,1.844905752
GaNbCaGeO6,2.128865476
GaNbCaSiO6,1.379197283
GaNbCaSnO6,1.843996924
GaNbCaTiO6,1.464554512
GaNbLaAlO6,2.126529305
GaNbLaGaO6,2.674483127
GaNbLaInO6,2.493512245
GaNbLiNbO6,1.401236812
GaNbMgTiO6,1.202758352
GaNbMgZrO6,2.970601472
GaNbNaNbO6,1.403098217
GaNbNaSbO6,2.154979683
GaNbPbTiO6,1.511721496
GaNbSnTiO6,1.460795557
GaNbSrGeO6,2.167031343
GaNbSrSiO6,1.440511905
GaNbSrSnO6,3.271136372
GaNbSrTiO6,1.487434643
GaNbYAlO6,1.671893478
GaTaAgNbO6,1.784907466
GaTaBaSnO6,3.486954934
GaTaBaTiO6,1.851214389
GaTaCaGeO6,2.921206721
GaTaCaSiO6,2.257882411
GaTaCaSnO6,2.563279251
GaTaCaTiO6,1.842666325
GaTaGaNbO6,1.453259658
GaTaKNbO6,1.723389689
GaTaKSbO6,2.325015967
GaTaLaAlO6,2.910652372
GaTaLaGaO6,3.453258672
GaTaLaInO6,3.425265999
GaTaLaScO6,3.262926712
GaTaLiNbO6,1.730675149
GaTaMgTiO6,2.177120432
GaTaMgZrO6,3.255670251
GaTaNaNbO6,1.73072672
GaTaNaSbO6,2.542490811
GaTaPbTiO6,1.883185973
GaTaPbZrO6,3.467447345
GaTaRbNbO6,1.714869864
GaTaSnTiO6,1.835986128
GaTaSrGeO6,2.733559859
GaTaSrSiO6,2.327024022
GaTaSrSnO6,3.714192995
GaTaSrTiO6,1.855608911
GaTaTlNbO6,1.474651584
GaTaTlTaO6,1.966914479
GaTaYAlO6,2.555522585
GeTiAgNbO6,2.840460427
GeTiAgTaO6,3.419571663
GeTiBaHfO6,4.160952852
GeTiBaSnO6,3.552575952
GeTiBaTiO6,3.190106777
GeTiBaZrO6,4.148723815
GeTiCaGeO6,3.248836082
GeTiCaHfO6,3.885293853
GeTiCaSiO6,3.563046045
GeTiCaSnO6,3.331224808
GeTiCaTiO6,3.007996942
GeTiCaZrO6,3.893225008
GeTiCsNbO6,3.02429532
GeTiCsTaO6,3.254019469
GeTiCsVO6,1.834517323
GeTiGaNbO6,1.797455269
GeTiGaTaO6,2.269047123
GeTiInNbO6,0.989026589
GeTiInTaO6,1.143574754
GeTiKNbO6,2.948122057
GeTiKSbO6,3.049450929
GeTiKTaO6,3.408221117
GeTiLaAlO6,4.01895421
GeTiLaGaO6,3.822508306
GeTiLaInO6,3.725860364
GeTiLaScO6,4.188933802
GeTiLiNbO6,2.90126163
GeTiLiTaO6,3.43696678
GeTiLiVO6,1.430327721
GeTiMgTiO6,3.188325122
GeTiMgZrO6,3.893705018
GeTiNaNbO6,2.767900919
GeTiNaSbO6,3.04215647
GeTiNaTaO6,3.398923557
GeTiNaVO6,1.463812125
GeTiPbHfO6,4.156892394
GeTiPbTiO6,3.584303518
GeTiPbZrO6,4.235235964
GeTiRbNbO6,2.910860625
GeTiRbTaO6,3.33362419
GeTiSnHfO6,3.861168711
GeTiSnTiO6,2.741981864
GeTiSnZrO6,3.576358601
GeTiSrGeO6,3.339568708
GeTiSrHfO6,4.184483885
GeTiSrSiO6,3.520429543
GeTiSrSnO6,3.597625931
GeTiSrTiO6,3.093917255
GeTiSrZrO6,4.125636681
GeTiTlNbO6,2.289670031
GeTiTlTaO6,2.508634061
GeTiYAlO6,3.701089196
InNbBaSnO6,1.66922478
InNbCaGeO6,0.796683747
InNbCaSnO6,1.90683703
InNbGaNbO6,0.128888784
InNbLaAlO6,0.82273265
InNbLaGaO6,1.15967416
InNbLaInO6,1.745350249
InNbLiNbO6,0.292528091
InNbMgTiO6,1.151989547
InNbMgZrO6,1.268264192
InNbNaNbO6,0.10662043
InNbNaSbO6,0.574152511
InNbSrGeO6,0.781410482
InNbSrSnO6,1.823241323
InNbYAlO6,0.63471935
InTaBaSnO6,1.909782068
InTaCaGeO6,1.127620733
InTaCaSnO6,1.237723535
InTaLaAlO6,1.498605746
InTaLaInO6,2.261798705
InTaLaScO6,2.234428288
InTaNaSbO6,0.818105099
InTaPbHfO6,2.199561857
InTaPbZrO6,2.166244692
InTaSnHfO6,2.150852251
InTaSnZrO6,2.123350206
InTaSrSiO6,0.823857766
InTaSrSnO6,2.094100616
InTaYAlO6,1.302498436
KNbAgNbO6,3.062301209
KNbBaSnO6,4.749720638
KNbBaTiO6,3.817776997
KNbCaGeO6,4.509665846
KNbCaSiO6,4.091124096
KNbCaSnO6,4.597100149
KNbCaTiO6,3.518675705
KNbGaNbO6,1.461851147
KNbKSbO6,3.900486075
KNbLaAlO6,4.47746793
KNbLaGaO6,4.812455616
KNbLaInO6,4.894367785
KNbLiNbO6,3.190324442
KNbMgTiO6,4.020037277
KNbMgZrO6,4.95899481
KNbNaNbO6,3.160753757
KNbNaSbO6,4.204154377
KNbPbTiO6,3.505501913
KNbRbNbO6,3.346984265
KNbSnTiO6,2.80800255
KNbSrGeO6,4.449250085
KNbSrSiO6,3.980946504
KNbSrSnO6,4.96090882
KNbSrTiO6,3.452977088
KNbTlNbO6,1.839635631
KNbYAlO6,4.7281547
KSbAgNbO6,3.905838936
KSbBaTiO6,3.721262439
KSbCaGeO6,1.882994929
KSbCaSiO6,2.732953318
KSbCaSnO6,2.713900428
KSbCaTiO6,4.271677539
KSbGaNbO6,1.968260223
KSbLaAlO6,4.319046481
KSbLaGaO6,2.751327197
KSbLaInO6,3.368820572
KSbLiNbO6,4.305385483
KSbLiVO6,1.895420667
KSbMgTiO6,4.604765276
KSbMgZrO6,5.774517555
KSbNaNbO6,4.209344679
KSbNaVO6,1.877171235
KSbPbTiO6,3.967764744
KSbRbNbO6,3.689934172
KSbSnHfO6,4.021699995
KSbSnTiO6,3.131082711
KSbSrSiO6,2.212024856
KSbSrSnO6,1.629370353
KSbSrTiO6,4.049643271
KSbTlNbO6,1.75729976
KSbYAlO6,4.558409892
KTaAgNbO6,3.433225646
KTaAgTaO6,3.966798043
KTaBaSnO6,5.196457856
KTaBaTiO6,3.753540391
KTaCaGeO6,5.429801846
KTaCaHfO6,5.46520753
KTaCaSiO6,5.106337532
KTaCaSnO6,5.221454507
KTaCaTiO6,4.251020823
KTaCaZrO6,5.396139557
KTaCsNbO6,3.294911002
KTaCsVO6,2.274588477
KTaGaNbO6,1.72329943
KTaGaTaO6,2.210934079
KTaKNbO6,3.448861519
KTaKSbO6,4.372567795
KTaLaAlO6,5.379821007
KTaLaGaO6,5.70532802
KTaLaInO6,5.816215972
KTaLaScO6,5.649467495
KTaLiNbO6,3.572560671
KTaLiTaO6,4.13821904
KTaLiVO6,2.301864217
KTaMgTiO6,5.203062127
KTaMgZrO6,5.499681919
KTaNaNbO6,3.540818105
KTaNaSbO6,4.710700726
KTaNaTaO6,4.105232239
KTaNaVO6,1.977986049
KTaPbHfO6,5.212113424
KTaPbTiO6,3.929727131
KTaPbZrO6,5.116273478
KTaRbNbO6,3.385510444
KTaRbTaO6,3.939485875
KTaSnHfO6,4.123323475
KTaSnTiO6,3.196291471
KTaSnZrO6,4.092547044
KTaSrGeO6,5.134653758
KTaSrHfO6,5.157179336
KTaSrSiO6,5.004405535
KTaSrSnO6,5.550200753
KTaSrTiO6,3.877403015
KTaSrZrO6,5.061804247
KTaTlNbO6,1.760505571
KTaTlTaO6,2.244292146
KTaYAlO6,5.733834897
LaAlLaGaO6,6.766541856
LaAlLaInO6,6.523672765
LaAlMgTiO6,5.189103214
LaAlSnTiO6,3.452664382
LaAlYAlO6,7.493232168
LaGaLaInO6,5.0911409
LaGaMgTiO6,5.244393485
LaGaSnTiO6,4.003966794
LaGaYAlO6,6.95217569
LaInMgTiO6,5.177625765
LaInSnTiO6,3.324618535
LaInYAlO6,6.125274178
LaScAgNbO6,4.33272259
LaScAgTaO6,5.009320756
LaScBaSnO6,6.787878886
LaScBaTiO6,5.052614065
LaScCaGeO6,7.230272945
LaScCaSiO6,7.136365745
LaScCaSnO6,6.652121121
LaScCaTiO6,5.360804586
LaScCsNbO6,4.414961176
LaScCsVO6,2.104586049
LaScGaNbO6,2.439044072
LaScInNbO6,1.623070352
LaScKNbO6,4.819276462
LaScKSbO6,5.827808786
LaScLaAlO6,6.066795195
LaScLaGaO6,6.065509156
LaScLaInO6,6.687201247
LaScLiNbO6,4.815912181
LaScLiTaO6,5.566786019
LaScLiVO6,2.829679604
LaScMgTiO6,5.328311049
LaScMgZrO6,7.318121814
LaScNaNbO6,4.961520789
LaScNaSbO6,6.025996426
LaScNaVO6,2.340322481
LaScPbHfO6,5.582233225
LaScPbTiO6,5.02202552
LaScPbZrO6,5.69255743
LaScRbNbO6,4.729214611
LaScSnHfO6,5.144975193
LaScSnTiO6,3.53219192
LaScSnZrO6,5.033477645
LaScSrGeO6,7.046287532
LaScSrHfO6,7.331300549
LaScSrSiO6,7.056130171
LaScSrSnO6,6.589774789
LaScSrTiO6,5.102706272
LaScSrZrO6,7.093181861
LaScTlNbO6,2.938221938
LaScTlTaO6,3.672398617
LaScYAlO6,7.503217509
LiNbAgNbO6,3.196015637
LiNbCaGeO6,4.659391641
LiNbCaSiO6,4.303741955
LiNbCaSnO6,4.816024988
LiNbCaTiO6,3.647495276
LiNbLaAlO6,4.578444546
LiNbLaGaO6,4.680252029
LiNbLaInO6,4.789109121
LiNbMgTiO6,5.184540584
LiNbSnTiO6,2.791704414
LiNbSrGeO6,4.595673331
LiNbSrSnO6,5.081040725
LiNbYAlO6,5.004391786
LiTaAgNbO6,3.554134478
LiTaAgTaO6,4.076533852
LiTaBaSnO6,5.588445276
LiTaBaTiO6,3.879725309
LiTaCaGeO6,5.709269761
LiTaCaHfO6,5.736424391
LiTaCaSiO6,5.329736032
LiTaCaSnO6,5.380446883
LiTaCaTiO6,4.095229431
LiTaCsNbO6,3.395525567
LiTaCsVO6,2.599914523
LiTaGaNbO6,1.730549506
LiTaGaTaO6,2.22363242
LiTaKNbO6,3.572092108
LiTaKSbO6,4.815169799
LiTaLaAlO6,5.475204549
LiTaLaGaO6,5.800399131
LiTaLaInO6,5.462839196
LiTaLiNbO6,3.784446853
LiTaLiVO6,2.046245105
LiTaMgTiO6,5.556495063
LiTaMgZrO6,6.196617848
LiTaNaNbO6,3.680948662
LiTaNaSbO6,5.200533194
LiTaNaTaO6,4.252210484
LiTaNaVO6,2.545787213
LiTaPbHfO6,5.216893252
LiTaPbTiO6,4.072581019
LiTaPbZrO6,5.087064944
LiTaRbNbO6,3.510160202
LiTaSnHfO6,4.033662859
LiTaSnTiO6,3.193104076
LiTaSnZrO6,4.001917779
LiTaSrGeO6,5.630547119
LiTaSrHfO6,5.270828814
LiTaSrSiO6,5.238077372
LiTaSrSnO6,5.96871878
LiTaSrTiO6,4.014617303
LiTaTlNbO6,1.757873497
LiTaTlTaO6,2.248528162
LiTaYAlO6,6.007036608
LiVAgNbO6,2.152959222
LiVCaGeO6,2.638234338
LiVCaSiO6,1.748630683
LiVCaSnO6,2.241717159
LiVCaTiO6,3.037879554
LiVCsNbO6,2.733391795
LiVKNbO6,2.205816478
LiVLaAlO6,2.385917639
LiVLaGaO6,2.399066466
LiVLaInO6,2.757312288
LiVLiNbO6,2.293919511
LiVMgTiO6,3.316236372
LiVRbNbO6,2.267615615
LiVSnTiO6,0.814423789
LiVSrSnO6,2.206413884
LiVTlNbO6,0.371308878
LiVYAlO6,2.263499247
MgTiSnTiO6,2.321158509
MgTiYAlO6,5.332891749
MgZrAgNbO6,4.547511185
MgZrAgTaO6,4.931917058
MgZrCaGeO6,6.476064938
MgZrCaSiO6,7.780486817
MgZrCaSnO6,6.514943947
MgZrCaTiO6,5.92861799
MgZrInTaO6,2.058860702
MgZrLaAlO6,7.244306501
MgZrLaGaO6,6.972198503
MgZrLaInO6,6.202966753
MgZrLiNbO6,5.014033707
MgZrLiVO6,3.388074816
MgZrMgTiO6,5.855148192
MgZrNaNbO6,5.722109937
MgZrNaSbO6,5.816665475
MgZrNaVO6,3.175799158
MgZrPbHfO6,5.131563185
MgZrPbTiO6,4.57721179
MgZrPbZrO6,5.703907938
MgZrRbNbO6,5.208754396
MgZrSnHfO6,4.845414529
MgZrSnTiO6,3.285225476
MgZrSnZrO6,4.79223757
MgZrSrGeO6,5.950811102
MgZrSrSiO6,7.353328806
MgZrSrSnO6,6.360185946
MgZrSrTiO6,5.734546456
MgZrTlNbO6,3.544579097
MgZrTlTaO6,4.248901231
MgZrYAlO6,7.555574901
NaNbAgNbO6,3.139328058
NaNbCaGeO6,4.62174398
NaNbCaSiO6,4.24087257
NaNbCaSnO6,4.925651545
NaNbCaTiO6,4.451940278
NaNbLaAlO6,4.557970413
NaNbLaGaO6,4.913052241
NaNbLaInO6,5.013442147
NaNbLiNbO6,3.659244615
NaNbLiVO6,2.760541559
NaNbMgTiO6,5.159811711
NaNbNaSbO6,4.537857987
NaNbNaVO6,2.744136121
NaNbSnTiO6,2.796893306
NaNbSrGeO6,4.563114357
NaNbSrSiO6,4.111084921
NaNbSrSnO6,5.055755556
NaNbSrTiO6,3.546993655
NaNbYAlO6,4.904866831
NaSbAgNbO6,4.154201606
NaSbCaGeO6,2.826551875
NaSbCaSiO6,3.831576869
NaSbCaSnO6,3.14998536
NaSbCaTiO6,4.569549916
NaSbLaAlO6,4.720018949
NaSbLaGaO6,3.114709108
NaSbLaInO6,3.909197233
NaSbLiNbO6,4.652893468
NaSbLiVO6,2.521096508
NaSbMgTiO6,4.316566414
NaSbNaVO6,1.933565235
NaSbSnTiO6,3.277038807
NaSbSrGeO6,2.10329495
NaSbSrSiO6,2.87021297
NaSbSrSnO6,2.010337533
NaSbSrTiO6,4.337563243
NaSbYAlO6,5.345071995
NaTaAgNbO6,3.523243739
NaTaAgTaO6,4.048614558
NaTaBaSnO6,5.488531427
NaTaBaTiO6,3.851203471
NaTaCaGeO6,5.672504696
NaTaCaSiO6,5.285961533
NaTaCaSnO6,5.618239319
NaTaCaTiO6,4.063019945
NaTaCsNbO6,3.37538625
